Query,Rows,Columns,Execution Time (s)
"SELECT id_device, COUNT(*) FROM data WHERE timestamp > '2024-02-01' GROUP BY id_device;",8,2,1.3211095333099365
"SELECT id_sensor, AVG(value) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-03-01' GROUP BY id_sensor;",3,2,3.163161039352417
"SELECT id_variable, MAX(value) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-02-15' GROUP BY id_variable;",15,2,3.2602174282073975
"SELECT id_location, MIN(value) FROM data WHERE timestamp > '2024-02-01' GROUP BY id_location;",5,2,1.0508794784545898
"SELECT id_device, id_sensor, SUM(value) FROM data WHERE id_device IN ('DBEM002', 'DBEM007') AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor;",4,3,3.255223512649536
"SELECT id_device, COUNT(DISTINCT id_sensor) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-02-28' GROUP BY id_device;",8,2,2.1671760082244873
SELECT * FROM data WHERE value BETWEEN 10 AND 20 AND timestamp BETWEEN '2024-02-10' AND '2024-02-20';,0,0,0.8967318534851074
"SELECT id_device, id_sensor, id_variable, AVG(value) AS avg_value FROM data WHERE id_device = 'DBEM009' AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor, id_variable ORDER BY avg_value DESC LIMIT 10;",9,4,0.2825279235839844
"SELECT id_sensor, id_variable, COUNT(*) FROM data WHERE id_sensor LIKE 's%' AND timestamp BETWEEN '2024-02-01' AND '2024-02-15' GROUP BY id_sensor, id_variable HAVING COUNT(*) > 5;SELECT * FROM data WHERE id_device = 'DBEM010' AND timestamp BETWEEN '2024-02-01' AND '2024-03-01';",0,0,0.0
SELECT * FROM data WHERE id_sensor = 'sSMON' AND timestamp BETWEEN '2024-02-10' AND '2024-02-20';,0,0,0.004942655563354492
SELECT AVG(value) FROM data WHERE id_variable = '00-temp-sSMON' AND timestamp > '2024-02-01';,1,1,0.0049953460693359375
"SELECT id_device, SUM(value) FROM data WHERE id_device IN ('DBEM009', 'DBEM010') AND id_sensor = 'sWEA' GROUP BY id_device;",2,2,0.2926676273345947
SELECT * FROM data WHERE id_location = 1 AND timestamp BETWEEN '2024-02-15' AND '2024-02-28';,0,0,0.880018949508667
"SELECT id_sensor, COUNT(*) FROM data WHERE id_sensor IN ('sACC', 'sAQU') AND timestamp > '2024-02-01' GROUP BY id_sensor;",1,2,0.6499974727630615
"SELECT id_variable, MAX(value) FROM data WHERE id_variable LIKE '01-%' AND timestamp BETWEEN '2024-02-01' AND '2024-02-28' GROUP BY id_variable;",3,2,2.7933130264282227
"SELECT id_device, id_sensor, AVG(value) AS average_value FROM data WHERE id_device = 'DBEM011' AND id_sensor = 'sENV' AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor;",1,3,0.043251752853393555
SELECT * FROM data WHERE id_device = 'DBEM014' AND id_sensor = 'sWEA' AND id_variable = '02-pres-sWEA' AND timestamp BETWEEN '2024-02-01' AND '2024-02-28';,0,0,0.00756382942199707
"SELECT id_device, COUNT(*) AS total_records FROM data WHERE id_device IN ('DBEM012', 'DBEM013', 'DBEM014') AND timestamp > '2024-02-01' GROUP BY id_device HAVING total_records > 10;",3,2,0.2422499656677246
