Query,Rows,Columns,Execution Time (s)
SELECT * FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-02-28';,0,0,0
"SELECT id_device, COUNT(*) FROM data WHERE timestamp > '2024-02-01' GROUP BY id_device;",0,0,0
"SELECT id_sensor, AVG(value) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-03-01' GROUP BY id_sensor;",0,0,0
"SELECT id_variable, MAX(value) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-02-15' GROUP BY id_variable;",0,0,0
"SELECT id_location, MIN(value) FROM data WHERE timestamp > '2024-02-01' GROUP BY id_location;",0,0,0
"SELECT id_device, id_sensor, SUM(value) FROM data WHERE id_device IN ('DBEM002', 'DBEM007') AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor;",0,0,0
"SELECT id_device, COUNT(DISTINCT id_sensor) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-02-28' GROUP BY id_device;",0,0,0
SELECT * FROM data WHERE value BETWEEN 10 AND 20 AND timestamp BETWEEN '2024-02-10' AND '2024-02-20';,0,0,0
"SELECT id_device, id_sensor, id_variable, AVG(value) AS avg_value FROM data WHERE id_device = 'DBEM009' AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor, id_variable ORDER BY avg_value DESC LIMIT 10;",0,0,0
"SELECT id_sensor, id_variable, COUNT(*) FROM data WHERE id_sensor LIKE 's%' AND timestamp BETWEEN '2024-02-01' AND '2024-02-15' GROUP BY id_sensor, id_variable HAVING COUNT(*) > 5;SELECT * FROM data WHERE id_device = 'DBEM010' AND timestamp BETWEEN '2024-02-01' AND '2024-03-01';",0,0,0
SELECT * FROM data WHERE id_sensor = 'sSMON' AND timestamp BETWEEN '2024-02-10' AND '2024-02-20';,0,0,0
SELECT AVG(value) FROM data WHERE id_variable = '00-temp-sSMON' AND timestamp > '2024-02-01';,0,0,0
"SELECT id_device, SUM(value) FROM data WHERE id_device IN ('DBEM009', 'DBEM010') AND id_sensor = 'sWEA' GROUP BY id_device;",0,0,0
SELECT * FROM data WHERE id_location = 1 AND timestamp BETWEEN '2024-02-15' AND '2024-02-28';,0,0,0
"SELECT id_sensor, COUNT(*) FROM data WHERE id_sensor IN ('sACC', 'sAQU') AND timestamp > '2024-02-01' GROUP BY id_sensor;",0,0,0
"SELECT id_variable, MAX(value) FROM data WHERE id_variable LIKE '01-%' AND timestamp BETWEEN '2024-02-01' AND '2024-02-28' GROUP BY id_variable;",0,0,0
"SELECT id_device, id_sensor, AVG(value) AS average_value FROM data WHERE id_device = 'DBEM011' AND id_sensor = 'sENV' AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor;",0,0,0
SELECT * FROM data WHERE id_device = 'DBEM014' AND id_sensor = 'sWEA' AND id_variable = '02-pres-sWEA' AND timestamp BETWEEN '2024-02-01' AND '2024-02-28';,0,0,0
"SELECT id_device, COUNT(*) AS total_records FROM data WHERE id_device IN ('DBEM012', 'DBEM013', 'DBEM014') AND timestamp > '2024-02-01' GROUP BY id_device HAVING total_records > 10;",0,0,0
